Type                                  Module                      Label             Process   
vector<reco::GenJet>                  "iterativeCone5GenJets"     ""                "SIM"     
vector<reco::GenJet>                  "kt4GenJets"                ""                "SIM"     
vector<reco::GenJet>                  "kt6GenJets"                ""                "SIM"     
vector<reco::GenMET>                  "genMetCalo"                ""                "SIM"     
vector<reco::GenMET>                  "genMetCaloAndNonPrompt"    ""                "SIM"     
vector<reco::GenMET>                  "genMetTrue"                ""                "SIM"     
vector<reco::GenParticle>             "genParticles"              ""                "SIM"     
CSCTriggerContainer<csctf::TrackStub>    "simCsctfTrackDigis"        ""                "HLT"     
CrossingFramePlaybackInfoExtended     "mix"                       ""                "HLT"     
EBDigiCollection                      "simEcalDigis"              "ebDigis"         "HLT"     
EEDigiCollection                      "simEcalDigis"              "eeDigis"         "HLT"     
ESDigiCollection                      "simEcalPreshowerDigis"     ""                "HLT"     
FEDRawDataCollection                  "rawDataCollector"          ""                "HLT"     
HcalUnpackerReport                    "castorDigis"               ""                "HLT"     
HcalUnpackerReport                    "hcalDigis"                 ""                "HLT"     
L1GlobalTriggerEvmReadoutRecord       "gtEvmDigis"                ""                "HLT"     
L1GlobalTriggerEvmReadoutRecord       "simGtDigis"                ""                "HLT"     
L1GlobalTriggerObjectMapRecord        "hltL1GtObjectMap"          ""                "HLT"     
L1GlobalTriggerObjectMapRecord        "simGtDigis"                ""                "HLT"     
L1GlobalTriggerObjectMaps             "l1L1GtObjectMap"           ""                "HLT"     
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "HLT"     
L1GlobalTriggerReadoutRecord          "hltGtDigis"                ""                "HLT"     
L1GlobalTriggerReadoutRecord          "simGtDigis"                ""                "HLT"     
L1MuDTChambPhContainer                "dttfDigis"                 ""                "HLT"     
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"     
L1MuDTChambThContainer                "dttfDigis"                 ""                "HLT"     
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"     
L1MuDTTrackContainer                  "dttfDigis"                 "DATA"            "HLT"     
L1MuDTTrackContainer                  "simDttfDigis"              "DTTF"            "HLT"     
L1MuGMTReadoutCollection              "gtDigis"                   ""                "HLT"     
L1MuGMTReadoutCollection              "hltGtDigis"                ""                "HLT"     
L1MuGMTReadoutCollection              "simGmtDigis"               ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "hltMuonCSCDigis"           "MuonCSCALCTDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCLCTDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "hltMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCorrelatedLCTDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCDCCFormatStatusDigi>    "hltMuonCSCDigis"           "MuonCSCDCCFormatStatusDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCRPCDigi>    "hltMuonCSCDigis"           "MuonCSCRPCDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCStripDigi>    "hltMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "hltMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"     
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<DTChamberId,DTLocalTrigger>    "hltMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigi>    "hltMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<RPCDetId,RPCDigi>    "hltMuonRPCDigis"           ""                "HLT"     
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "HLT"     
RPCRawDataCounts                      "hltMuonRPCDigis"           ""                "HLT"     
edm::AssociationMap<edm::OneToMany<vector<L2MuonTrajectorySeed>,vector<L2MuonTrajectorySeed>,unsigned int> >    "hltL2Muons"                ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "hltL2Muons"                ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltBLifetimeL25AssociatorbbPhiL1FastJetFastPV"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltBLifetimeL3AssociatorbbPhiL1FastJetFastPV"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltPFTauJetTracksAssociator"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltBLifetimeL25BJetTagsbbPhiL1FastJetFastPV"   ""                "HLT"     
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltBLifetimeL3BJetTagsbbPhiL1FastJetFastPV"   ""                "HLT"     
edm::ConditionsInEventBlock           "conditionsInEdm"           ""                "HLT"     
edm::DetSetVector<PixelDigi>          "simSiPixelDigis"           ""                "HLT"     
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           ""                "HLT"     
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"     
edm::DetSetVector<SiStripDigi>        "simSiStripDigis"           "ZeroSuppressed"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ProcessedRaw"    "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ScopeMode"       "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "VirginRaw"       "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simSiStripDigis"           ""                "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"     
edm::EDCollection<DetId>              "siPixelDigis"              ""                "HLT"     
edm::EDCollection<DetId>              "siStripDigis"              ""                "HLT"     
edm::EDCollection<DetId>              "siPixelDigis"              "UserErrorModules"   "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltBLifetimeRegionalCtfWithMaterialTracksbbPhiL1FastJetFastPV"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltFastPVPixelTracks"      ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltFastPVPixelTracksRecover"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1Merged"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2Merged"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3Merged"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter4Merged"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL2Muons"                ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIOHit"           ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIHit"           ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIState"         ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2IOHit"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2OIHit"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2OIState"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracks"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIOHit"           "L2Seeded"        "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIHit"           "L2Seeded"        "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIState"         "L2Seeded"        "HLT"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "HLT"     
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "hltCsc2DRecHits"           ""                "HLT"     
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "hltCscSegments"            ""                "HLT"     
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "hltDt4DSegments"           ""                "HLT"     
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "hltRpcRecHits"             ""                "HLT"     
edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >    "hltBSoftMuonMu5L3"         ""                "HLT"     
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltTowerMakerForAll"       ""                "HLT"     
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltTowerMakerForMuons"     ""                "HLT"     
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "simEcalDigis"              "ebSrFlags"       "HLT"     
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "simEcalDigis"              "eeSrFlags"       "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHitAll"          "EcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHitAll"          "EcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaEBUncalibrator"   "etaEcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaEEUncalibrator"   "etaEcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaRecHitsFilterEBonly"   "etaEcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaEBUncalibrator"   "etaEcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaEEUncalibrator"   "etaEcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaRecHitsFilterEEonly"   "etaEcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaRecHitsFilterEBonly"   "etaEcalRecHitsES"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaRecHitsFilterEEonly"   "etaEcalRecHitsES"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPhiSymStream"       "phiSymEcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPhiSymUncalibrator"   "phiSymEcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPhiSymStream"       "phiSymEcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPhiSymUncalibrator"   "phiSymEcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0EBUncalibrator"   "pi0EcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0EEUncalibrator"   "pi0EcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0RecHitsFilterEBonly"   "pi0EcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0EBUncalibrator"   "pi0EcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0EEUncalibrator"   "pi0EcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0RecHitsFilterEEonly"   "pi0EcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0RecHitsFilterEBonly"   "pi0EcalRecHitsES"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0RecHitsFilterEEonly"   "pi0EcalRecHitsES"   "HLT"     
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "simEcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<HcalTriggerPrimitiveDigi> >    "simHcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalDigis"              "HBHEUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalUnsuppressedDigis"   "HBHEUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalDigis"              "HFUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalUnsuppressedDigis"   "HFUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hcalDigis"                 ""                "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edmNew::DetSetVector<SiPixelCluster>    "hltSiPixelClusters"        ""                "HLT"     
edmNew::DetSetVector<SiStripCluster>    "hltSiStripRawToClustersFacility"   ""                "HLT"     
reco::BeamSpot                        "hltOnlineBeamSpot"         ""                "HLT"     
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "HLT"     
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "HLT"     
vector<DcsStatus>                     "scalersRawToDigi"          ""                "HLT"     
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "HLT"     
vector<L1CaloEmCand>                  "gctDigis"                  ""                "HLT"     
vector<L1CaloEmCand>                  "simRctDigis"               ""                "HLT"     
vector<L1CaloRegion>                  "gctDigis"                  ""                "HLT"     
vector<L1CaloRegion>                  "simRctDigis"               ""                "HLT"     
vector<L1GctEmCand>                   "gctDigis"                  "isoEm"           "HLT"     
vector<L1GctEmCand>                   "simGctDigis"               "isoEm"           "HLT"     
vector<L1GctEmCand>                   "gctDigis"                  "nonIsoEm"        "HLT"     
vector<L1GctEmCand>                   "simGctDigis"               "nonIsoEm"        "HLT"     
vector<L1GctEtHad>                    "gctDigis"                  ""                "HLT"     
vector<L1GctEtHad>                    "simGctDigis"               ""                "HLT"     
vector<L1GctEtMiss>                   "gctDigis"                  ""                "HLT"     
vector<L1GctEtMiss>                   "simGctDigis"               ""                "HLT"     
vector<L1GctEtTotal>                  "gctDigis"                  ""                "HLT"     
vector<L1GctEtTotal>                  "simGctDigis"               ""                "HLT"     
vector<L1GctFibreWord>                "gctDigis"                  ""                "HLT"     
vector<L1GctHFBitCounts>              "gctDigis"                  ""                "HLT"     
vector<L1GctHFBitCounts>              "simGctDigis"               ""                "HLT"     
vector<L1GctHFRingEtSums>             "gctDigis"                  ""                "HLT"     
vector<L1GctHFRingEtSums>             "simGctDigis"               ""                "HLT"     
vector<L1GctHtMiss>                   "gctDigis"                  ""                "HLT"     
vector<L1GctHtMiss>                   "simGctDigis"               ""                "HLT"     
vector<L1GctInternEmCand>             "gctDigis"                  ""                "HLT"     
vector<L1GctInternEtSum>              "gctDigis"                  ""                "HLT"     
vector<L1GctInternEtSum>              "simGctDigis"               ""                "HLT"     
vector<L1GctInternHFData>             "gctDigis"                  ""                "HLT"     
vector<L1GctInternHtMiss>             "gctDigis"                  ""                "HLT"     
vector<L1GctInternHtMiss>             "simGctDigis"               ""                "HLT"     
vector<L1GctInternJetData>            "gctDigis"                  ""                "HLT"     
vector<L1GctInternJetData>            "simGctDigis"               ""                "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "cenJets"         "HLT"     
vector<L1GctJetCand>                  "simGctDigis"               "cenJets"         "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "forJets"         "HLT"     
vector<L1GctJetCand>                  "simGctDigis"               "forJets"         "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "tauJets"         "HLT"     
vector<L1GctJetCand>                  "simGctDigis"               "tauJets"         "HLT"     
vector<L1GctJetCounts>                "gctDigis"                  ""                "HLT"     
vector<L1MuGMTCand>                   "gtDigis"                   ""                "HLT"     
vector<L1MuGMTCand>                   "hltGtDigis"                ""                "HLT"     
vector<L1MuGMTCand>                   "simGmtDigis"               ""                "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "CSC"             "HLT"     
vector<L1MuRegionalCand>              "simCsctfDigis"             "CSC"             "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "DT"              "HLT"     
vector<L1MuRegionalCand>              "simDttfDigis"              "DT"              "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "RPCb"            "HLT"     
vector<L1MuRegionalCand>              "simRpcTriggerDigis"        "RPCb"            "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "RPCf"            "HLT"     
vector<L1MuRegionalCand>              "simRpcTriggerDigis"        "RPCf"            "HLT"     
vector<L1TriggerError>                "gctDigis"                  ""                "HLT"     
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "HLT"     
vector<L2MuonTrajectorySeed>          "hltL2MuonSeeds"            ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedIOHit"        ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedOIHit"        ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedOIState"      ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajectorySeed"       ""                "HLT"     
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "HLT"     
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "HLT"     
vector<LumiScalers>                   "scalersRawToDigi"          ""                "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<RPCDigiL1Link>                 "simRpcTriggerDigis"        "RPCb"            "HLT"     
vector<RPCDigiL1Link>                 "simRpcTriggerDigis"        "RPCf"            "HLT"     
